timewindow,avg_travel_time,link_id,precipitation,pressure,rel_humidity,sea_pressure,temperature,wind_direction,wind_speed,length,width,lanes,in_top,out_top,lane_width,working_day,day_before_holiday,weekends,holidays,day_after_holiday
2016-07-19 00:20:00,10.07,116,0.0000,1000.9000,81.0000,1005.8000,27.5000,219.0000,3.3000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 00:40:00,38.3,116,0.0000,1000.9000,81.0000,1005.8000,27.5000,219.0000,3.3000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 01:20:00,26.72,116,0.0000,1000.9000,81.0000,1005.8000,27.5000,219.0000,3.3000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 01:40:00,14.465,116,0.0000,1000.9000,81.0000,1005.8000,27.5000,219.0000,3.3000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 04:20:00,15.11,116,0.0000,1000.5000,65.0000,1005.3000,31.7000,212.0000,3.8000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 04:40:00,10.49,116,0.0000,1000.5000,65.0000,1005.3000,31.7000,212.0000,3.8000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 05:20:00,11.02,116,0.0000,1000.5000,65.0000,1005.3000,31.7000,212.0000,3.8000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 05:40:00,12.59,116,0.0000,1000.5000,65.0000,1005.3000,31.7000,212.0000,3.8000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 06:00:00,22.485,116,0.0000,999.7000,64.0000,1004.5000,31.8000,239.0000,1.9000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 06:40:00,12.85,116,0.0000,999.7000,64.0000,1004.5000,31.8000,239.0000,1.9000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 07:00:00,14.01,116,0.0000,999.7000,64.0000,1004.5000,31.8000,239.0000,1.9000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 07:40:00,20.13,116,0.0000,999.7000,64.0000,1004.5000,31.8000,239.0000,1.9000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 08:00:00,12.256666666666666,116,0.0000,999.7000,64.0000,1004.5000,31.8000,239.0000,1.9000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 08:20:00,22.19,116,0.0000,999.7000,64.0000,1004.5000,31.8000,239.0000,1.9000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 08:40:00,12.799999999999999,116,0.0000,999.7000,64.0000,1004.5000,31.8000,239.0000,1.9000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 09:00:00,16.02333333333333,116,0.0000,998.7000,69.0000,1003.5000,31.5000,218.0000,2.0000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 09:20:00,15.44,116,0.0000,998.7000,69.0000,1003.5000,31.5000,218.0000,2.0000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 09:40:00,14.9,116,0.0000,998.7000,69.0000,1003.5000,31.5000,218.0000,2.0000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 10:00:00,18.688333333333336,116,0.0000,998.7000,69.0000,1003.5000,31.5000,218.0000,2.0000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 10:20:00,15.106666666666664,116,0.0000,998.7000,69.0000,1003.5000,31.5000,218.0000,2.0000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 10:40:00,68.49666666666666,116,0.0000,998.7000,69.0000,1003.5000,31.5000,218.0000,2.0000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 11:00:00,8.38,116,0.0000,998.7000,69.0000,1003.5000,31.5000,218.0000,2.0000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 11:20:00,14.64,116,0.0000,998.7000,69.0000,1003.5000,31.5000,218.0000,2.0000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 11:40:00,13.83,116,0.0000,998.7000,69.0000,1003.5000,31.5000,218.0000,2.0000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 12:00:00,15.65,116,0.0000,1000.2000,77.0000,1005.0000,30.0000,215.0000,0.7000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 12:20:00,14.465,116,0.0000,1000.2000,77.0000,1005.0000,30.0000,215.0000,0.7000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 12:40:00,10.129999999999999,116,0.0000,1000.2000,77.0000,1005.0000,30.0000,215.0000,0.7000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 13:20:00,17.375999999999998,116,0.0000,1000.2000,77.0000,1005.0000,30.0000,215.0000,0.7000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 13:40:00,16.105,116,0.0000,1000.2000,77.0000,1005.0000,30.0000,215.0000,0.7000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 14:00:00,38.5,116,0.0000,1000.2000,77.0000,1005.0000,30.0000,215.0000,0.7000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 14:20:00,21.596666666666664,116,0.0000,1000.2000,77.0000,1005.0000,30.0000,215.0000,0.7000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 14:40:00,10.92,116,0.0000,1000.2000,77.0000,1005.0000,30.0000,215.0000,0.7000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 15:00:00,14.765,116,0.0000,1001.0000,80.0000,1005.8000,29.0000,202.0000,1.5000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 15:20:00,17.064999999999998,116,0.0000,1001.0000,80.0000,1005.8000,29.0000,202.0000,1.5000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 15:40:00,14.11,116,0.0000,1001.0000,80.0000,1005.8000,29.0000,202.0000,1.5000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 16:00:00,13.735,116,0.0000,1001.0000,80.0000,1005.8000,29.0000,202.0000,1.5000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 16:20:00,16.145,116,0.0000,1001.0000,80.0000,1005.8000,29.0000,202.0000,1.5000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 16:40:00,14.29,116,0.0000,1001.0000,80.0000,1005.8000,29.0000,202.0000,1.5000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 17:00:00,18.953333333333333,116,0.0000,1001.0000,80.0000,1005.8000,29.0000,202.0000,1.5000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 17:20:00,14.38,116,0.0000,1001.0000,80.0000,1005.8000,29.0000,202.0000,1.5000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 17:40:00,16.165000000000003,116,0.0000,1001.0000,80.0000,1005.8000,29.0000,202.0000,1.5000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 18:00:00,15.26,116,0.0000,999.6000,88.0000,1004.4000,27.7000,198.0000,2.1000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 18:20:00,71.0725,116,0.0000,999.6000,88.0000,1004.4000,27.7000,198.0000,2.1000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 18:40:00,16.27,116,0.0000,999.6000,88.0000,1004.4000,27.7000,198.0000,2.1000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 19:00:00,22.3,116,0.0000,999.6000,88.0000,1004.4000,27.7000,198.0000,2.1000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 19:40:00,14.61,116,0.0000,999.6000,88.0000,1004.4000,27.7000,198.0000,2.1000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 20:00:00,16.09,116,0.0000,999.6000,88.0000,1004.4000,27.7000,198.0000,2.1000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 21:00:00,20.25,116,0.0000,999.0000,93.0000,1003.8000,26.5000,208.0000,2.0000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 21:20:00,15.72,116,0.0000,999.0000,93.0000,1003.8000,26.5000,208.0000,2.0000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 21:40:00,19.16,116,0.0000,999.0000,93.0000,1003.8000,26.5000,208.0000,2.0000,180,9,3,2,1,3,1,0,0,0,0
2016-07-19 22:40:00,25.58,116,0.0000,999.0000,93.0000,1003.8000,26.5000,208.0000,2.0000,180,9,3,2,1,3,1,0,0,0,0
2016-07-20 01:20:00,11.56,116,0.0000,1000.2000,72.0000,1005.0000,30.3000,200.0000,2.9000,180,9,3,2,1,3,1,0,0,0,0
2016-07-20 02:40:00,13.31,116,0.0000,1000.2000,72.0000,1005.0000,30.3000,200.0000,2.9000,180,9,3,2,1,3,1,0,0,0,0
2016-07-20 03:00:00,29.82,116,0.0000,999.7000,48.0000,1004.5000,34.8000,207.0000,5.4000,180,9,3,2,1,3,1,0,0,0,0
2016-07-20 06:00:00,21.68,116,0.0000,998.7000,41.0000,1003.5000,37.1000,199.0000,4.7000,180,9,3,2,1,3,1,0,0,0,0
2016-07-20 06:20:00,11.025,116,0.0000,998.7000,41.0000,1003.5000,37.1000,199.0000,4.7000,180,9,3,2,1,3,1,0,0,0,0
2016-07-20 06:40:00,19.400000000000002,116,0.0000,998.7000,41.0000,1003.5000,37.1000,199.0000,4.7000,180,9,3,2,1,3,1,0,0,0,0
2016-07-20 07:00:00,36.79666666666667,116,0.0000,998.7000,41.0000,1003.5000,37.1000,199.0000,4.7000,180,9,3,2,1,3,1,0,0,0,0
2016-07-20 07:20:00,18.845,116,0.0000,998.7000,41.0000,1003.5000,37.1000,199.0000,4.7000,180,9,3,2,1,3,1,0,0,0,0
2016-07-20 07:40:00,14.29,116,0.0000,998.7000,41.0000,1003.5000,37.1000,199.0000,4.7000,180,9,3,2,1,3,1,0,0,0,0
2016-07-20 08:00:00,30.215,116,0.0000,998.7000,41.0000,1003.5000,37.1000,199.0000,4.7000,180,9,3,2,1,3,1,0,0,0,0
2016-07-20 08:20:00,78.18,116,0.0000,998.7000,41.0000,1003.5000,37.1000,199.0000,4.7000,180,9,3,2,1,3,1,0,0,0,0
2016-07-20 08:40:00,18.573333333333334,116,0.0000,998.7000,41.0000,1003.5000,37.1000,199.0000,4.7000,180,9,3,2,1,3,1,0,0,0,0
2016-07-20 09:00:00,20.745,116,0.0000,998.7000,40.0000,1003.5000,37.0000,217.0000,3.4000,180,9,3,2,1,3,1,0,0,0,0
2016-07-20 09:20:00,19.87,116,0.0000,998.7000,40.0000,1003.5000,37.0000,217.0000,3.4000,180,9,3,2,1,3,1,0,0,0,0
2016-07-20 09:40:00,26.1525,116,0.0000,998.7000,40.0000,1003.5000,37.0000,217.0000,3.4000,180,9,3,2,1,3,1,0,0,0,0
2016-07-20 10:00:00,17.060000000000002,116,0.0000,998.7000,40.0000,1003.5000,37.0000,217.0000,3.4000,180,9,3,2,1,3,1,0,0,0,0
2016-07-20 10:40:00,17.7425,116,0.0000,998.7000,40.0000,1003.5000,37.0000,217.0000,3.4000,180,9,3,2,1,3,1,0,0,0,0
